name,side,definition,n_train,wr_train,roi_train,n_oos,wr_oos,avg_cote_oos,roi_oos
"H1 A ALL cote[1.3,1.5)",A,"bet A: odds_away in [1.3,1.5)",137,0.6788321167883211,-0.056496350364963505,51,0.803921568627451,1.4039215686274509,0.11921568627450979
"H1 A DS cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8) AND segment=DS",35,0.8,0.31085714285714283,10,0.6,1.643,-0.010000000000000009
"H1 A MS_early cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8) AND segment=MS_early",87,0.5747126436781609,-0.055747126436781605,34,0.5882352941176471,1.6270588235294117,-0.05294117647058823
"H1 A MS_mid cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8) AND segment=MS_mid",121,0.5867768595041323,-0.042809917355371915,47,0.5319148936170213,1.655957446808511,-0.1357446808510638
"H1 A MS_late cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8) AND segment=MS_late",62,0.5645161290322581,-0.077741935483871,31,0.5806451612903226,1.6403225806451611,-0.04322580645161292
"H1 A FS cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8) AND segment=FS",39,0.41025641025641024,-0.3271794871794872,9,0.3333333333333333,1.6055555555555554,-0.47888888888888886
"H1 A ALL cote[1.5,1.8)",A,"bet A: odds_away in [1.5,1.8)",344,0.5813953488372093,-0.048633720930232556,131,0.549618320610687,1.6403053435114505,-0.10633587786259543
"H1 A DS cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0) AND segment=DS",13,0.6153846153846154,0.1630769230769231,10,0.5,1.8940000000000001,-0.06700000000000002
"H1 A MS_early cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0) AND segment=MS_early",46,0.4782608695652174,-0.1017391304347826,20,0.35,1.879,-0.3485
"H1 A MS_mid cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0) AND segment=MS_mid",63,0.4126984126984127,-0.22698412698412698,29,0.6206896551724138,1.8862068965517242,0.1624137931034483
"H1 A MS_late cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0) AND segment=MS_late",33,0.45454545454545453,-0.1466666666666667,29,0.5172413793103449,1.9117241379310344,-0.012068965517241383
"H1 A FS cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0) AND segment=FS",15,0.4,-0.24599999999999997,2,0.5,1.96,-0.010000000000000009
"H1 A ALL cote[1.8,2.0)",A,"bet A: odds_away in [1.8,2.0)",170,0.45294117647058824,-0.1493529411764706,90,0.5111111111111111,1.8953333333333335,-0.03666666666666667
"H1 D DS cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2) AND segment=DS",7,0.42857142857142855,0.3542857142857142,7,0.2857142857142857,3.0728571428571425,-0.11428571428571425
"H1 D MS_early cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2) AND segment=MS_early",23,0.30434782608695654,-0.06521739130434782,14,0.2857142857142857,3.108571428571429,-0.12285714285714285
"H1 D MS_mid cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2) AND segment=MS_mid",34,0.29411764705882354,-0.09029411764705882,14,0.35714285714285715,3.0871428571428576,0.10214285714285716
