cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
profxseg,other|FS,Minute du premier but,Pas de but,62,0.12903225806451613,0.8146774193548388,19,0.05263157894736842,15.497894736842108,-0.1873684210526316,1,-1.0,1.2057142857142857
profxseg,other|FS,FTTS,Pas de but,62,0.12903225806451613,0.8146774193548388,19,0.05263157894736842,15.497894736842108,-0.1873684210526316,1,-1.0,1.2057142857142857
favxseg,Hfav<1.6|FS,+/-,> 3.5,88,0.4659090909090909,0.1261363636363636,17,0.35294117647058826,2.422352941176471,-0.19117647058823528,6,-0.26,-0.09285714285714285
profxseg,home_strong|FS,+/-,> 3.5,88,0.4659090909090909,0.1261363636363636,17,0.35294117647058826,2.422352941176471,-0.19117647058823528,6,-0.26,-0.09285714285714285
profxseg,home_slight|FS,Total equipe domicile,> 3.5,107,0.12149532710280374,0.22420560747663545,31,0.06451612903225806,12.758064516129032,-0.1996774193548387,2,0.03374999999999998,-1.0
profxseg,other|FS,Minute du premier but,31-45,62,0.22580645161290322,0.15000000000000002,19,0.15789473684210525,5.092631578947368,-0.20263157894736844,3,0.26249999999999996,-1.0
seg,DS,Total de buts,6,278,0.06474820143884892,0.39579136690647476,93,0.03225806451612903,22.10322580645161,-0.2190322580645161,3,-0.5286666666666666,0.07125000000000004
profxseg,home_slight|FS,Minute du premier but,76-90,98,0.09183673469387756,0.5863265306122449,31,0.03225806451612903,16.970322580645163,-0.2274193548387097,1,-0.002083333333333363,-1.0
profxseg,away_slight|MS_early,Multi-Buts,Le total de buts est supérieur à 4,140,0.15714285714285714,0.11657142857142852,59,0.11864406779661017,7.357796610169491,-0.23186440677966103,7,-0.32392857142857145,-0.14870967741935484
profxobin,"home_strong|[5.0,8.0)",Les deux équipes marquent / 1ère mi temps,Oui,43,0.2558139534883721,0.3202325581395349,28,0.14285714285714285,5.2325,-0.2325,4,-0.325,-0.1091666666666667
favxseg,nofav|MS_early,Total equipe extérieur,> 3.5,333,0.07207207207207207,0.11408408408408408,146,0.04794520547945205,20.168972602739725,-0.24164383561643837,7,-0.062083333333333345,-0.4163513513513514
profxobin,"home_strong|[2.0,2.5)",G/NG,Oui,45,0.5555555555555556,0.148,30,0.36666666666666664,2.0533333333333332,-0.24300000000000002,11,-0.2405263157894737,-0.24727272727272734
profxseg,home_slight|FS,Les deux équipes marquent / 1ère mi temps,Oui,98,0.3163265306122449,0.13122448979591836,31,0.1935483870967742,3.9722580645161285,-0.24580645161290327,6,-0.33083333333333337,0.045714285714285756
profxseg,home_strong|FS,Total de buts,5,88,0.1590909090909091,0.1105681818181818,17,0.11764705882352941,6.687058823529412,-0.2505882352941176,2,-0.33499999999999996,-0.13000000000000003
favxseg,Hfav<1.6|FS,Total de buts,5,88,0.1590909090909091,0.1105681818181818,17,0.11764705882352941,6.687058823529412,-0.2505882352941176,2,-0.33499999999999996,-0.13000000000000003
favxseg,nofav|DS,Total equipe extérieur,> 3.5,129,0.08527131782945736,0.6845736434108528,44,0.022727272727272728,18.830909090909092,-0.26818181818181813,1,-1.0,0.3416666666666668
favxseg,Hfav<1.3|DS,Total de buts,4,41,0.2926829268292683,0.1719512195121952,11,0.18181818181818182,4.07,-0.28909090909090907,2,0.3166666666666667,-0.51625
profxseg,home_crush|DS,Total de buts,4,41,0.2926829268292683,0.1719512195121952,11,0.18181818181818182,4.07,-0.28909090909090907,2,0.3166666666666667,-0.51625
favxseg,Hfav<1.3|MS_mid,Multi-Buts,"Le total de buts est de 0, 1 ou 2",123,0.3333333333333333,0.10398373983739838,47,0.2553191489361702,3.118085106382979,-0.298936170212766,12,-0.3185714285714286,-0.27
profxseg,home_crush|MS_mid,Multi-Buts,"Le total de buts est de 0, 1 ou 2",123,0.3333333333333333,0.10398373983739838,47,0.2553191489361702,3.118085106382979,-0.298936170212766,12,-0.3185714285714286,-0.27
profxseg,away_slight|MS_early,Total de buts,5,140,0.12142857142857143,0.10471428571428573,59,0.0847457627118644,9.077796610169493,-0.30254237288135594,5,-0.4017857142857143,-0.21290322580645166
profxseg,away_slight|MS_late,Total equipe extérieur,> 3.5,86,0.09302325581395349,0.18883720930232561,57,0.05263157894736842,12.353684210526318,-0.31280701754385964,3,-0.4756666666666666,-0.13185185185185186
profxseg,home_crush|MS_mid,Total de buts,2,123,0.21951219512195122,0.1795121951219512,47,0.14893617021276595,5.157234042553191,-0.31340425531914895,7,-0.19285714285714287,-0.49105263157894735
favxseg,Hfav<1.3|MS_mid,Total de buts,2,123,0.21951219512195122,0.1795121951219512,47,0.14893617021276595,5.157234042553191,-0.31340425531914895,7,-0.19285714285714287,-0.49105263157894735
profxseg,home_crush|DS,Multi-Buts,"Le total de buts est de 0, 1 ou 2",41,0.36585365853658536,0.178780487804878,11,0.2727272727272727,3.0899999999999994,-0.31727272727272726,3,-0.27333333333333326,-0.33375
favxseg,Hfav<1.3|DS,Multi-Buts,"Le total de buts est de 0, 1 ou 2",41,0.36585365853658536,0.178780487804878,11,0.2727272727272727,3.0899999999999994,-0.31727272727272726,3,-0.27333333333333326,-0.33375
profxseg,home_slight|MS_mid,Total de buts,5,417,0.15827338129496402,0.18455635491606717,184,0.08695652173913043,8.281086956521738,-0.33119565217391306,16,-0.3858585858585859,-0.2675294117647059
profxseg,away_strong|MS_mid,+/-,> 3.5,107,0.4205607476635514,0.11485981308411218,52,0.25,2.688076923076923,-0.3363461538461538,13,-0.42615384615384616,-0.24653846153846154
favxseg,Afav<1.6|MS_mid,+/-,> 3.5,107,0.4205607476635514,0.11485981308411218,52,0.25,2.688076923076923,-0.3363461538461538,13,-0.42615384615384616,-0.24653846153846154
favxseg,Hfav<1.6|MS_early,Minute du premier but,Pas de but,169,0.047337278106508875,0.1521301775147929,70,0.02857142857142857,22.228857142857144,-0.3444285714285714,2,-1.0,0.27472222222222226
profxseg,home_strong|MS_early,FTTS,Pas de but,169,0.047337278106508875,0.1521301775147929,70,0.02857142857142857,22.228857142857144,-0.3444285714285714,2,-1.0,0.27472222222222226
profxseg,home_strong|MS_early,Minute du premier but,Pas de but,169,0.047337278106508875,0.1521301775147929,70,0.02857142857142857,22.228857142857144,-0.3444285714285714,2,-1.0,0.27472222222222226
favxseg,Hfav<1.6|MS_early,FTTS,Pas de but,169,0.047337278106508875,0.1521301775147929,70,0.02857142857142857,22.228857142857144,-0.3444285714285714,2,-1.0,0.27472222222222226
profxseg,away_slight|FS,Total de buts,2,51,0.3137254901960784,0.19,6,0.16666666666666666,3.7816666666666663,-0.3466666666666667,1,0.96,-1.0
profxseg,other|FS,Les deux équipes marquent / 1ère mi temps,Oui,61,0.32786885245901637,0.25163934426229506,19,0.15789473684210525,3.8505263157894736,-0.3515789473684211,3,-0.325,-0.3971428571428572
profxseg,away_slight|MS_late,+/-,> 3.5,86,0.37209302325581395,0.12325581395348836,57,0.22807017543859648,2.981578947368421,-0.36263157894736847,13,-0.23933333333333331,-0.49962962962962965
profxseg,away_slight|MS_late,Multi-Buts,Le total de buts est supérieur à 4,86,0.16279069767441862,0.15151162790697667,57,0.10526315789473684,7.133859649122806,-0.36350877192982456,6,-0.598,-0.102962962962963
favxseg,nofav|MS_late,Total equipe extérieur,> 3.5,256,0.0625,0.183125,131,0.03816793893129771,19.68320610687023,-0.36770992366412214,5,-0.3023728813559322,-0.42124999999999996
profxseg,other|MS_late,G/NG equipe domicile,Non,159,0.27044025157232704,0.170377358490566,70,0.14285714285714285,4.272,-0.38199999999999995,10,-0.5303571428571429,-0.2830952380952381
profxseg,other|MS_early,Total de buts,5,171,0.12280701754385964,0.12929824561403508,77,0.07792207792207792,9.58961038961039,-0.4087012987012987,6,-0.35439024390243906,-0.4705555555555555
profxseg,away_strong|MS_late,Minute du premier but,46-60,55,0.16363636363636364,0.22363636363636358,27,0.07407407407407407,7.318148148148147,-0.43666666666666665,2,-0.44846153846153847,-0.42571428571428577
favxseg,Afav<1.6|MS_late,Minute du premier but,46-60,55,0.16363636363636364,0.22363636363636358,27,0.07407407407407407,7.318148148148147,-0.43666666666666665,2,-0.44846153846153847,-0.42571428571428577
profxseg,home_strong|MS_late,Total de buts,1,154,0.16883116883116883,0.445974025974026,93,0.06451612903225806,9.293870967741936,-0.4530107526881721,6,-0.40744186046511627,-0.49219999999999997
favxseg,Hfav<1.6|MS_late,Total de buts,1,154,0.16883116883116883,0.445974025974026,93,0.06451612903225806,9.293870967741936,-0.4530107526881721,6,-0.40744186046511627,-0.49219999999999997
seg,MS_late,Total equipe extérieur,> 3.5,317,0.07886435331230283,0.11473186119873822,159,0.03773584905660377,17.415849056603772,-0.45886792452830183,6,-0.3921917808219178,-0.5154651162790698
profxseg,away_slight|DS,Multi-Buts,Le total de buts est supérieur à 4,49,0.20408163265306123,0.4104081632653061,20,0.1,7.074,-0.46299999999999997,2,-0.33888888888888885,-0.5645454545454546
profxseg,away_slight|MS_late,Total de buts,5,86,0.12790697674418605,0.12988372093023257,57,0.07017543859649122,8.826315789473684,-0.46771929824561403,4,-0.4953333333333333,-0.43703703703703706
seg,FS,FTTS,Pas de but,330,0.06363636363636363,0.11954545454545455,91,0.03296703296703297,18.431978021978026,-0.47219780219780216,3,-0.6972881355932203,-0.0571875
seg,FS,Minute du premier but,Pas de but,330,0.06363636363636363,0.11954545454545455,91,0.03296703296703297,18.431978021978026,-0.47219780219780216,3,-0.6972881355932203,-0.0571875
profxseg,home_slight|FS,Total de buts,5,107,0.1588785046728972,0.27289719626168235,31,0.06451612903225806,9.209032258064516,-0.4951612903225807,2,-1.0,1.2357142857142855
profxseg,away_slight|MS_late,Minute du premier but,1-15,80,0.275,0.181,57,0.12280701754385964,4.216491228070176,-0.4959649122807017,7,-0.7260000000000001,-0.24037037037037037
seg,FS,Minute du premier but,76-90,346,0.06936416184971098,0.14910404624277457,93,0.021505376344086023,16.92548387096774,-0.5413978494623656,2,-0.2891666666666667,-1.0
profxobin,"home_crush|[3.5,5.0)",Multi-Buts,"Le total de buts est de 0, 1 ou 2",96,0.3229166666666667,0.20156249999999998,32,0.125,3.7096875000000002,-0.5421875,4,-0.16153846153846155,-0.8026315789473685
profxseg,home_strong|MS_mid,Minute du premier but,61-75,251,0.0796812749003984,0.15270916334661358,149,0.03355704697986577,14.611208053691273,-0.5485234899328858,5,-0.3005333333333333,-0.7998648648648649
favxseg,Hfav<1.6|MS_mid,Minute du premier but,61-75,251,0.0796812749003984,0.15270916334661358,149,0.03355704697986577,14.611208053691273,-0.5485234899328858,5,-0.3005333333333333,-0.7998648648648649
profxobin,"away_slight|[8.0,35.0)",Multi-Buts,Le total de buts est supérieur à 4,183,0.12021857923497267,0.17781420765027323,68,0.04411764705882353,9.505882352941175,-0.5520588235294117,3,-0.37,-0.7341176470588235
favxseg,nofav|FS,Minute du premier but,76-90,206,0.07281553398058252,0.196747572815534,56,0.017857142857142856,16.766964285714288,-0.5723214285714285,1,-0.3697368421052632,-1.0
profxseg,away_strong|MS_early,Minute du premier but,31-45,65,0.26153846153846155,0.3029230769230769,35,0.08571428571428572,4.990285714285715,-0.5757142857142856,3,-0.7052941176470588,-0.45333333333333337
favxseg,Afav<1.6|MS_early,Minute du premier but,31-45,65,0.26153846153846155,0.3029230769230769,35,0.08571428571428572,4.990285714285715,-0.5757142857142856,3,-0.7052941176470588,-0.45333333333333337
profxseg,other|MS_late,FTTS,Pas de but,146,0.07534246575342465,0.24506849315068494,70,0.02857142857142857,15.225285714285715,-0.592,2,-1.0,-0.31999999999999995
profxseg,other|MS_late,Minute du premier but,Pas de but,146,0.07534246575342465,0.24506849315068494,70,0.02857142857142857,15.225285714285715,-0.592,2,-1.0,-0.31999999999999995
profxseg,other|MS_late,Total de buts,0,158,0.06962025316455696,0.15050632911392414,70,0.02857142857142857,15.225285714285715,-0.592,2,-1.0,-0.31999999999999995
profxseg,away_slight|MS_mid,Minute du premier but,76-90,168,0.08333333333333333,0.3325595238095238,81,0.024691358024691357,16.606419753086417,-0.592716049382716,2,-0.13184210526315784,-1.0
profxseg,away_slight|DS,Total de buts,5,49,0.16326530612244897,0.4446938775510204,20,0.05,8.7625,-0.626,1,-0.16888888888888884,-1.0
favxseg,Hfav<1.3|MS_early,Total de buts,4,93,0.2903225806451613,0.15344086021505376,34,0.08823529411764706,4.072647058823528,-0.6285294117647058,3,-0.7171428571428571,-0.5665
profxseg,home_crush|MS_early,Total de buts,4,93,0.2903225806451613,0.15344086021505376,34,0.08823529411764706,4.072647058823528,-0.6285294117647058,3,-0.7171428571428571,-0.5665
profxseg,home_slight|DS,Total equipe domicile,> 3.5,120,0.125,0.2634166666666667,43,0.023255813953488372,12.160465116279068,-0.7953488372093024,1,-0.648,-1.0
profxseg,away_slight|FS,Minute du premier but,46-60,46,0.21739130434782608,0.6549999999999999,6,0.0,7.189999999999999,-1.0,0,-1.0,-1.0
