cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
favxseg,nofav|DS,Total de buts,6,138,0.08695652173913043,1.2123188405797103,49,0.04081632653061224,25.05897959183673,0.04938775510204085,2,-1.0,0.9776923076923077
profxobin,"away_slight|[1.6,2.0)",G/NG,Oui,294,0.6394557823129252,0.10724489795918368,123,0.6097560975609756,1.7270731707317073,0.0491869918699187,75,0.0690909090909091,0.03308823529411766
obin,"[1.0,1.3)",FTTS,1,133,0.8872180451127819,0.11789473684210527,48,0.8333333333333334,1.2608333333333335,0.04895833333333333,40,-0.052083333333333336,0.15
profxobin,"home_crush|[1.0,1.3)",FTTS,1,133,0.8872180451127819,0.11789473684210527,48,0.8333333333333334,1.2608333333333335,0.04895833333333333,40,-0.052083333333333336,0.15
prof,home_crush,FTTS,1,331,0.8368580060422961,0.08876132930513599,138,0.8043478260869565,1.304565217391304,0.047826086956521775,111,0.007714285714285746,0.08911764705882357
fav,Hfav<1.3,FTTS,1,331,0.8368580060422961,0.08876132930513599,138,0.8043478260869565,1.304565217391304,0.047826086956521775,111,0.007714285714285746,0.08911764705882357
profxobin,"home_crush|[1.3,1.6)",FTTS,1,198,0.803030303030303,0.06919191919191925,90,0.7888888888888889,1.327888888888889,0.04722222222222226,71,0.038913043478260925,0.05590909090909095
profxseg,home_slight|FS,Total de buts,1,107,0.1588785046728972,0.16373831775700937,31,0.16129032258064516,7.240967741935484,0.04612903225806451,5,-0.27166666666666667,1.1357142857142857
profxseg,away_slight|FS,Total equipe extérieur,< 3.5,45,0.9555555555555556,-0.014888888888888863,5,1.0,1.034,0.03400000000000003,5,0.050000000000000044,0.023333333333333355
profxobin,"away_slight|[5.0,8.0)",Total de buts,4,193,0.23834196891191708,0.312901554404145,71,0.18309859154929578,5.492957746478871,0.033802816901408454,13,0.155,-0.07756756756756755
favxseg,Hfav<1.3|DS,Total equipe domicile,< 3.5,41,0.7804878048780488,0.014878048780487802,11,0.8181818181818182,1.280909090909091,0.03181818181818181,9,0.21666666666666665,-0.037500000000000006
profxseg,home_crush|DS,Total equipe domicile,< 3.5,41,0.7804878048780488,0.014878048780487802,11,0.8181818181818182,1.280909090909091,0.03181818181818181,9,0.21666666666666665,-0.037500000000000006
profxseg,away_slight|MS_early,G/NG equipe domicile,Oui,140,0.7857142857142857,0.09757142857142859,59,0.7457627118644068,1.3862711864406783,0.028813559322033916,44,0.0485714285714286,0.010967741935483881
favxseg,nofav|FS,Total equipe extérieur,< 3.5,49,0.9591836734693877,-0.012040816326530587,7,1.0,1.0271428571428571,0.027142857142857166,7,0.0366666666666667,0.020000000000000018
profxseg,other|DS,Les deux équipes marquent / 1ère mi temps,Oui,65,0.3384615384615385,0.31384615384615383,27,0.25925925925925924,4.055185185185185,0.02555555555555557,7,-0.3108333333333333,0.2946666666666667
profxseg,other|MS_early,Total de buts,4,171,0.23976608187134502,0.1016374269005848,77,0.22077922077922077,4.936493506493506,0.025454545454545466,17,0.28414634146341466,-0.2691666666666667
favxseg,nofav|FS,G/NG equipe domicile,Oui,228,0.8201754385964912,-0.013508771929824562,56,0.8571428571428571,1.2001785714285715,0.02232142857142857,48,0.019736842105263157,0.027777777777777766
favxseg,Hfav<1.6|DS,Les deux équipes marquent / 1ère mi temps,Non,72,0.8472222222222222,0.059166666666666666,32,0.8125,1.2490625,0.019375000000000003,26,0.024375000000000008,0.014374999999999999
profxseg,home_strong|DS,Les deux équipes marquent / 1ère mi temps,Non,72,0.8472222222222222,0.059166666666666666,32,0.8125,1.2490625,0.019375000000000003,26,0.024375000000000008,0.014374999999999999
profxseg,home_crush|MS_early,Minute du premier but,31-45,87,0.22988505747126436,0.1304597701149425,34,0.20588235294117646,4.920588235294118,0.01764705882352943,7,-0.2978571428571429,0.23850000000000002
favxseg,Hfav<1.3|MS_early,Minute du premier but,31-45,87,0.22988505747126436,0.1304597701149425,34,0.20588235294117646,4.920588235294118,0.01764705882352943,7,-0.2978571428571429,0.23850000000000002
favxseg,Hfav<1.3|DS,Multi-Buts,"Le total de buts est de 2, 3 ou 4",41,0.8048780487804879,0.13926829268292681,11,0.7272727272727273,1.410909090909091,0.016363636363636358,8,0.3766666666666667,-0.11875000000000002
profxseg,home_crush|DS,Multi-Buts,"Le total de buts est de 2, 3 ou 4",41,0.8048780487804879,0.13926829268292681,11,0.7272727272727273,1.410909090909091,0.016363636363636358,8,0.3766666666666667,-0.11875000000000002
favxseg,Hfav<1.6|MS_late,Les deux équipes marquent / 1ère mi temps,Non,144,0.7986111111111112,-0.008194444444444452,93,0.8064516129032258,1.2543010752688173,0.013655913978494626,75,-0.029302325581395342,0.0506
profxseg,home_strong|MS_late,Les deux équipes marquent / 1ère mi temps,Non,144,0.7986111111111112,-0.008194444444444452,93,0.8064516129032258,1.2543010752688173,0.013655913978494626,75,-0.029302325581395342,0.0506
profxobin,"home_crush|[2.0,2.5)",Multi-Buts,"Le total de buts est de 1, 2 ou 3",44,0.6136363636363636,0.2581818181818182,16,0.5,2.046875,0.012499999999999983,8,0.007499999999999951,0.01416666666666666
profxseg,away_slight|MS_late,Les deux équipes marquent / 1ère mi temps,Non,80,0.825,0.02137499999999999,57,0.8070175438596491,1.251578947368421,0.008070175438596491,46,0.08233333333333334,-0.07444444444444447
profxseg,away_slight|MS_mid,Total de buts,4,179,0.25139664804469275,0.22804469273743017,81,0.20987654320987653,4.776172839506173,0.0061728395061728504,17,-0.021578947368421038,0.03069767441860468
profxseg,home_crush|MS_mid,FTTS,1,110,0.8090909090909091,0.05336363636363639,47,0.7659574468085106,1.31,0.0019148936170213207,36,0.08178571428571432,-0.11578947368421048
favxseg,Hfav<1.3|MS_mid,FTTS,1,110,0.8090909090909091,0.05336363636363639,47,0.7659574468085106,1.31,0.0019148936170213207,36,0.08178571428571432,-0.11578947368421048
profxseg,away_slight|MS_mid,G/NG,Oui,179,0.659217877094972,0.1022346368715084,81,0.6049382716049383,1.637777777777778,-0.0002469135802469193,49,0.12421052631578947,-0.11023255813953489
favxseg,Hfav<1.3|MS_mid,Total de buts,1,123,0.10569105691056911,0.208130081300813,47,0.10638297872340426,10.657872340425532,-0.0019148936170213114,5,-0.27750000000000014,0.40421052631578935
profxseg,home_crush|MS_mid,Total de buts,1,123,0.10569105691056911,0.208130081300813,47,0.10638297872340426,10.657872340425532,-0.0019148936170213114,5,-0.27750000000000014,0.40421052631578935
profxseg,away_slight|MS_early,Total de buts,4,140,0.2714285714285714,0.321,59,0.2033898305084746,4.8247457627118635,-0.002372881355932213,12,0.2557142857142857,-0.23548387096774195
profxobin,"other|[3.5,5.0)",+/-,> 3.5,170,0.2823529411764706,0.1336470588235294,80,0.25,4.053375,-0.0023749999999999718,20,-0.07261904761904761,0.07526315789473692
favxseg,nofav|MS_mid,G/NG equipe domicile,Oui,856,0.8271028037383178,-0.005221962616822423,374,0.8262032085561497,1.211283422459893,-0.004705882352941176,309,0.034822335025380714,-0.04870056497175141
profxseg,home_strong|FS,Minute du premier but,16-30,80,0.425,0.17124999999999999,17,0.35294117647058826,2.762941176470588,-0.005882352941176476,6,0.12399999999999997,-0.19142857142857142
favxseg,Hfav<1.6|FS,Minute du premier but,16-30,80,0.425,0.17124999999999999,17,0.35294117647058826,2.762941176470588,-0.005882352941176476,6,0.12399999999999997,-0.19142857142857142
favxseg,Hfav<1.3|MS_early,FTTS,1,87,0.8505747126436781,0.10689655172413796,34,0.7647058823529411,1.296764705882353,-0.007352941176470555,26,-0.15357142857142853,0.09500000000000003
profxseg,home_crush|MS_early,FTTS,1,87,0.8505747126436781,0.10689655172413796,34,0.7647058823529411,1.296764705882353,-0.007352941176470555,26,-0.15357142857142853,0.09500000000000003
seg,MS_mid,G/NG equipe domicile,Oui,1327,0.8357196684250189,-0.012637528259231335,611,0.8346972176759411,1.2080851063829787,-0.012258592471358413,510,0.013622291021671841,-0.0412847222222222
profxseg,home_slight|FS,G/NG equipe domicile,Oui,107,0.897196261682243,0.008317757009345806,31,0.8709677419354839,1.1348387096774195,-0.016451612903225794,27,-0.010833333333333315,-0.03571428571428571
