segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
DS,Sunderland,N. Forest,2,4.31,1.76,2,1.76,1.0,2,True,0.76,1
MS_early,Bournemouth,West Ham,7,1.95,3.79,1,1.95,0.5,2,False,-1.0,1
MS_early,C. Palace,Bournemouth,6,1.9,3.56,2,3.56,0.5,1,False,-1.0,1
MS_early,Manchester Red,Bournemouth,5,1.7,4.32,2,4.32,0.5,1,False,-1.0,1
MS_early,Leeds,Bournemouth,8,4.47,1.67,2,1.67,0.5,2,True,0.6699999999999999,1
MS_early,Everton,Manchester Blue,8,5.08,1.73,1,5.08,0.448,2,False,-1.0,1
MS_early,Bournemouth,Newcastle,11,2.96,2.27,1,2.96,0.98,1,True,1.96,2
FS,Leeds,Spurs,35,6.45,1.41,2,1.41,1.528,X,False,-1.0,2
MS_late,Leeds,Newcastle,33,7.57,1.35,2,1.35,0.496,1,False,-1.0,1
DS,Burnley,Liverpool,2,5.37,1.55,2,1.55,1.0,2,True,0.55,1
DS,Brighton,Bournemouth,1,1.66,4.39,2,4.39,0.472,1,False,-1.0,1
DS,Wolverhampton,London Blues,1,2.57,2.56,2,2.56,0.8,2,True,1.56,1
DS,C. Palace,Everton,1,1.9,4.33,2,4.33,0.472,2,True,3.33,1
DS,West Ham,A. Villa,3,2.34,2.84,1,2.34,1.6560000000000001,X,False,-1.0,2
DS,N. Forest,Wolverhampton,3,1.66,4.88,2,4.88,0.472,2,True,3.88,1
DS,Fulham,Burnley,3,1.57,4.78,2,4.78,0.472,1,False,-1.0,1
DS,Sunderland,London Blues,3,7.01,1.42,2,1.42,1.32,2,True,0.41999999999999993,2
FS,Fulham,London Reds,36,5.53,1.57,1,5.53,0.544,1,True,4.53,1
FS,Sunderland,Manchester Blue,34,18.71,1.15,1,18.71,1.094,2,False,-1.0,2
FS,A. Villa,London Blues,34,1.63,4.59,2,4.59,0.65,1,False,-1.0,1
DS,Sunderland,Newcastle,3,9.14,1.3,2,1.3,0.52,2,True,0.30000000000000004,1
DS,Brentford,Everton,3,1.69,4.61,2,4.61,0.472,1,False,-1.0,1
DS,West Ham,Leeds,3,1.56,5.85,1,1.56,1.0,1,True,0.56,1
DS,West Ham,Sunderland,1,1.78,3.98,1,1.78,1.0,1,True,0.78,1
DS,Wolverhampton,Everton,1,2.09,3.73,2,3.73,0.472,X,False,-1.0,1
DS,Liverpool,London Reds,1,2.27,3.04,1,2.27,0.656,2,False,-1.0,1
DS,Brighton,Manchester Red,1,1.81,4.07,2,4.07,0.472,2,True,3.0700000000000003,1
MS_early,Brentford,Bournemouth,6,1.7,3.96,2,3.96,0.5,2,True,2.96,1
MS_early,Burnley,Liverpool,6,5.6,1.54,1,5.6,0.448,2,False,-1.0,1
MS_early,A. Villa,Manchester Blue,9,2.92,2.25,1,2.92,0.48,1,True,1.92,1
MS_early,Sunderland,C. Palace,9,6.19,1.55,1,6.19,0.448,1,True,5.19,1
MS_early,Leeds,Brentford,9,6.2,1.5,1,6.2,0.448,2,False,-1.0,1
MS_early,Sunderland,A. Villa,12,5.99,1.54,1,5.99,0.448,X,False,-1.0,1
MS_early,Bournemouth,Manchester Red,12,2.3,3.12,1,2.3,0.34199999999999997,X,False,-1.0,1
MS_late,Sunderland,Brentford,27,7.6,1.41,2,1.41,0.496,2,True,0.4099999999999999,1
MS_late,Leeds,Brighton,27,6.06,1.44,2,1.44,0.496,2,True,0.43999999999999995,1
DS,West Ham,Bournemouth,2,2.06,3.09,1,2.06,0.746,1,True,1.06,1
DS,Bournemouth,London Reds,1,5.77,1.63,2,1.63,1.0,2,True,0.6299999999999999,1
DS,Burnley,Wolverhampton,1,2.5,2.71,1,2.5,0.656,1,True,1.5,1
MS_early,Leeds,Brighton,5,6.27,1.43,1,6.27,0.448,X,False,-1.0,1
MS_early,Sunderland,Manchester Blue,5,17.66,1.16,1,17.66,0.448,2,False,-1.0,1
MS_early,Sunderland,Leeds,10,3.13,2.34,1,3.13,0.48,2,False,-1.0,1
MS_early,Burnley,Liverpool,8,5.47,1.56,1,5.47,0.448,X,False,-1.0,1
MS_early,A. Villa,Bournemouth,8,1.45,5.66,2,5.66,0.5,2,True,4.66,1
MS_early,Sunderland,Brentford,8,7.23,1.44,1,7.23,0.448,X,False,-1.0,1
FS,London Blues,N. Forest,34,1.44,6.63,1,1.44,0.65,1,True,0.43999999999999995,1
FS,London Blues,Liverpool,37,2.27,2.8,1,2.27,0.396,2,False,-1.0,1
FS,N. Forest,Sunderland,35,1.66,4.87,2,4.87,0.55,X,False,-1.0,1
FS,London Blues,A. Villa,35,1.64,4.96,1,1.64,0.65,2,False,-1.0,1
FS,Spurs,West Ham,35,1.6,4.58,1,1.6,1.0,1,True,0.6000000000000001,1
DS,West Ham,A. Villa,1,2.27,2.96,1,2.27,1.6560000000000001,1,True,1.27,2
DS,N. Forest,Newcastle,1,2.55,2.53,1,2.55,0.656,2,False,-1.0,1
MS_early,Bournemouth,Wolverhampton,4,1.9,3.91,1,1.9,0.5,2,False,-1.0,1
FS,C. Palace,Brentford,34,2.37,2.89,1,2.37,0.746,1,True,1.37,1
FS,West Ham,London Reds,34,5.96,1.54,1,5.96,0.544,X,False,-1.0,1
DS,A. Villa,Spurs,1,1.66,4.17,2,4.17,0.472,2,True,3.17,1
DS,London Blues,Brighton,3,1.8,3.78,1,1.8,0.546,X,False,-1.0,1
MS_early,Burnley,C. Palace,7,3.35,2.22,1,3.35,0.48,2,False,-1.0,1
MS_early,Leeds,Burnley,6,3.26,2.01,1,3.26,0.48,X,False,-1.0,1
MS_early,C. Palace,Liverpool,6,3.06,2.11,1,3.06,0.48,X,False,-1.0,1
MS_early,Sunderland,Manchester Blue,6,18.15,1.15,1,18.15,0.448,2,False,-1.0,1
DS,Sunderland,Newcastle,1,8.96,1.31,2,1.31,0.52,1,False,-1.0,1
MS_early,Sunderland,Brighton,4,7.84,1.34,1,7.84,0.448,1,True,6.84,1
DS,West Ham,London Blues,2,2.46,2.64,1,2.46,1.6560000000000001,1,True,1.46,2
MS_early,Leeds,Brighton,8,6.74,1.39,1,6.74,0.448,2,False,-1.0,1
MS_early,Manchester Red,Bournemouth,8,1.63,4.62,2,4.62,0.5,2,True,3.62,1
MS_early,Bournemouth,Leeds,7,1.58,6.23,1,1.58,0.5,1,True,0.5800000000000001,1
MS_early,Bournemouth,Brentford,5,2.6,2.74,1,2.6,0.34199999999999997,X,False,-1.0,1
MS_early,Wolverhampton,Bournemouth,11,2.09,3.15,2,3.15,0.5,1,False,-1.0,1
MS_early,Sunderland,Liverpool,11,12.58,1.2,1,12.58,0.448,2,False,-1.0,1
MS_late,Burnley,Manchester Blue,31,8.55,1.37,2,1.37,0.496,2,True,0.3700000000000001,1
MS_late,Sunderland,Fulham,31,7.1,1.44,2,1.44,0.496,1,False,-1.0,1
FS,A. Villa,Sunderland,37,1.37,7.12,2,7.12,0.55,1,False,-1.0,1
FS,Brentford,C. Palace,37,1.88,3.7,2,3.7,1.0,1,False,-1.0,1
FS,London Blues,Bournemouth,37,1.54,5.25,1,1.54,0.65,X,False,-1.0,1
FS,Burnley,Brentford,36,3.64,2.03,1,3.64,0.44,X,False,-1.0,1
FS,Fulham,London Reds,34,5.36,1.59,1,5.36,0.544,1,True,4.36,1
MS_early,Wolverhampton,Manchester Blue,4,5.44,1.6,1,5.44,0.448,2,False,-1.0,1
DS,West Ham,Wolverhampton,1,1.79,4.04,1,1.79,1.0,X,False,-1.0,1
DS,London Blues,C. Palace,1,1.76,4.59,1,1.76,0.8,1,True,0.76,1
DS,Spurs,N. Forest,1,1.54,4.96,2,4.96,0.472,X,False,-1.0,1
MS_early,Manchester Blue,Bournemouth,8,1.24,9.38,2,9.38,0.5,1,False,-1.0,1
MS_late,Burnley,London Reds,33,10.32,1.32,2,1.32,0.496,2,True,0.32000000000000006,1
FS,N. Forest,C. Palace,36,2.06,3.64,2,3.64,1.0,1,False,-1.0,1
FS,Brentford,Spurs,36,2.06,2.91,2,2.91,1.0,1,False,-1.0,1
FS,Liverpool,London Blues,36,1.34,8.05,2,8.05,0.65,2,True,7.050000000000001,1
FS,Bournemouth,London Reds,36,5.92,1.6,1,5.92,0.544,X,False,-1.0,1
FS,Spurs,Bournemouth,35,1.7,3.94,1,1.7,1.0,1,True,0.7,1
DS,Wolverhampton,C. Palace,3,2.54,2.74,1,2.54,0.656,1,True,1.54,1
DS,Newcastle,London Blues,3,1.46,6.09,2,6.09,0.8,1,False,-1.0,1
DS,Leeds,West Ham,3,4.26,1.75,2,1.75,2.0,2,True,0.75,2
DS,Brentford,London Reds,3,4.81,1.63,2,1.63,1.0,2,True,0.6299999999999999,1
DS,Sunderland,Everton,1,4.83,1.79,2,1.79,1.0,2,True,0.79,1
DS,Bournemouth,Fulham,1,2.5,2.85,1,2.5,0.656,1,True,1.5,1
DS,Leeds,A. Villa,1,4.9,1.67,2,1.67,1.0,2,True,0.6699999999999999,1
DS,Manchester Blue,West Ham,1,1.21,11.11,2,11.11,1.0,X,False,-1.0,1
DS,Manchester Red,C. Palace,1,1.84,4.25,2,4.25,0.472,X,False,-1.0,1
MS_early,Wolverhampton,Brentford,7,2.84,2.44,1,2.84,0.48,2,False,-1.0,1
MS_early,Bournemouth,N. Forest,10,1.9,3.91,1,1.9,0.5,X,False,-1.0,1
MS_late,Leeds,Spurs,32,6.54,1.4,2,1.4,0.496,2,True,0.3999999999999999,1
FS,N. Forest,Manchester Blue,36,4.47,1.78,1,4.47,0.44,2,False,-1.0,1
FS,A. Villa,Spurs,36,1.71,3.87,2,3.87,1.0,X,False,-1.0,1
FS,Liverpool,Sunderland,36,1.18,13.87,2,13.87,0.55,1,False,-1.0,1
FS,Bournemouth,Sunderland,34,1.78,4.32,2,4.32,0.55,X,False,-1.0,1
DS,N. Forest,Bournemouth,1,1.84,3.8,2,3.8,0.472,1,False,-1.0,1
DS,Spurs,London Blues,1,1.94,3.25,2,3.25,0.8,2,True,2.25,1
DS,Sunderland,Manchester Red,1,6.12,1.54,2,1.54,1.0,2,True,0.54,1
DS,C. Palace,Brentford,1,2.35,2.9,1,2.35,0.656,1,True,1.35,1
DS,Fulham,London Reds,1,5.06,1.63,2,1.63,1.0,1,False,-1.0,1
DS,West Ham,Liverpool,1,3.48,1.89,1,3.48,1.0,1,True,2.48,1
DS,Bournemouth,Manchester Red,3,2.21,3.24,1,2.21,0.656,1,True,1.21,1
MS_early,Leeds,Manchester Red,6,5.3,1.61,1,5.3,0.448,2,False,-1.0,1
MS_early,Wolverhampton,Manchester Blue,9,5.51,1.58,1,5.51,0.448,2,False,-1.0,1
MS_early,Bournemouth,Wolverhampton,12,1.82,4.23,1,1.82,0.5,1,True,0.8200000000000001,1
FS,C. Palace,Everton,37,1.89,4.35,1,1.89,1.0,1,True,0.8899999999999999,1
FS,Everton,London Blues,36,2.55,2.79,2,2.79,0.65,X,False,-1.0,1
FS,Leeds,Everton,35,4.21,1.92,1,4.21,0.44,X,False,-1.0,1
FS,London Blues,Wolverhampton,35,1.44,6.57,1,1.44,0.65,2,False,-1.0,1
DS,Fulham,London Blues,1,2.26,2.87,2,2.87,0.8,X,False,-1.0,1
DS,Brentford,C. Palace,1,1.89,3.62,2,3.62,0.472,2,True,2.62,1
DS,London Reds,West Ham,1,1.28,9.02,2,9.02,1.0,X,False,-1.0,1
DS,Leeds,Newcastle,1,7.25,1.38,2,1.38,0.52,2,True,0.3799999999999999,1
MS_early,C. Palace,London Reds,7,5.37,1.63,1,5.37,0.448,2,False,-1.0,1
MS_early,Bournemouth,Manchester Blue,7,4.79,1.74,1,4.79,0.5,X,False,-1.0,1
MS_early,Liverpool,Bournemouth,10,1.24,9.81,2,9.81,0.5,1,False,-1.0,1
MS_early,Sunderland,Newcastle,10,9.0,1.31,1,9.0,0.448,2,False,-1.0,1
MS_early,Bournemouth,Sunderland,9,1.8,4.16,1,1.8,0.5,1,True,0.8,1
FS,London Blues,London Reds,36,3.68,1.98,1,3.68,1.09,2,False,-1.0,2
FS,C. Palace,Spurs,34,2.16,2.92,1,2.16,1.0,1,True,1.1600000000000001,1
FS,Leeds,Brighton,34,6.31,1.43,1,6.31,0.544,1,True,5.31,1
FS,Fulham,Manchester Blue,34,4.25,1.76,1,4.25,0.44,2,False,-1.0,1
FS,London Blues,Everton,34,1.57,6.2,1,1.57,0.65,1,True,0.5700000000000001,1
DS,Everton,West Ham,1,2.0,3.76,2,3.76,1.472,1,False,-1.0,2
DS,Wolverhampton,Brighton,1,2.62,2.4,1,2.62,0.656,2,False,-1.0,1
DS,A. Villa,London Blues,1,1.67,4.39,2,4.39,1.272,1,False,-1.0,2
DS,Wolverhampton,Sunderland,3,1.94,3.61,2,3.61,0.472,1,False,-1.0,1
DS,London Blues,West Ham,3,1.49,6.05,2,6.05,1.0,1,False,-1.0,1
DS,Everton,N. Forest,3,1.96,3.87,2,3.87,0.472,2,True,2.87,1
DS,Spurs,London Reds,3,4.43,1.68,2,1.68,1.0,X,False,-1.0,1
MS_early,Leeds,Brighton,6,5.96,1.45,1,5.96,0.448,1,True,4.96,1
MS_early,Sunderland,Brentford,6,7.05,1.45,1,7.05,0.448,1,True,6.05,1
MS_early,Bournemouth,Burnley,6,1.67,4.6,1,1.67,0.5,1,True,0.6699999999999999,1
MS_early,Leeds,Liverpool,9,9.68,1.27,1,9.68,0.448,2,False,-1.0,1
MS_early,N. Forest,London Reds,9,5.1,1.69,1,5.1,0.448,1,True,4.1,1
MS_early,Bournemouth,Manchester Red,9,2.22,3.28,1,2.22,0.34199999999999997,1,True,1.2200000000000002,1
MS_early,C. Palace,Bournemouth,12,1.81,3.87,2,3.87,0.5,1,False,-1.0,1
MS_early,Fulham,Liverpool,12,3.08,2.04,1,3.08,0.48,1,True,2.08,1
DS,Manchester Red,West Ham,3,1.63,5.01,2,5.01,1.0,1,False,-1.0,1
MS_early,Everton,London Reds,7,5.9,1.65,1,5.9,0.448,X,False,-1.0,1
MS_early,Leeds,Manchester Blue,7,15.34,1.18,1,15.34,0.448,1,True,14.34,1
MS_early,Everton,Bournemouth,10,2.13,3.27,2,3.27,0.5,X,False,-1.0,1
MS_early,Burnley,London Blues,10,3.47,2.04,1,3.47,0.48,1,True,2.47,1
MS_early,Fulham,Liverpool,10,3.09,2.04,1,3.09,0.48,X,False,-1.0,1
FS,Spurs,Manchester Blue,36,3.83,1.8,1,3.83,1.44,X,False,-1.0,2
DS,London Blues,West Ham,1,1.5,5.87,2,5.87,1.0,1,False,-1.0,1
DS,Bournemouth,Brighton,3,2.56,2.52,1,2.56,0.656,1,True,1.56,1
MS_early,Sunderland,Manchester Red,5,6.19,1.52,1,6.19,0.448,X,False,-1.0,1
MS_early,Brentford,Bournemouth,10,1.64,4.19,2,4.19,0.5,X,False,-1.0,1
MS_early,Everton,Manchester Blue,10,5.27,1.71,1,5.27,0.448,1,True,4.27,1
MS_late,Sunderland,Spurs,28,7.56,1.35,2,1.35,0.496,2,True,0.3500000000000001,1
FS,Sunderland,London Blues,34,7.49,1.4,2,1.4,1.178,2,True,0.3999999999999999,2
FS,Spurs,Wolverhampton,34,1.49,5.39,1,1.49,1.0,1,True,0.49,1
FS,N. Forest,C. Palace,34,2.04,3.63,2,3.63,1.0,1,False,-1.0,1
DS,Everton,N. Forest,1,1.92,4.01,2,4.01,0.472,2,True,3.01,1
DS,Brentford,Sunderland,1,1.55,4.89,2,4.89,0.472,1,False,-1.0,1
DS,C. Palace,Sunderland,3,1.68,4.52,2,4.52,0.472,1,False,-1.0,1
MS_early,C. Palace,Bournemouth,8,1.88,3.63,2,3.63,0.5,1,False,-1.0,1
FS,Burnley,Brighton,34,3.78,1.84,1,3.78,0.44,X,False,-1.0,1
FS,Sunderland,Wolverhampton,37,4.27,1.78,1,4.27,0.99,2,False,-1.0,2
FS,Newcastle,Spurs,37,1.47,5.6,2,5.6,1.0,1,False,-1.0,1
DS,London Blues,Liverpool,1,2.25,2.8,1,2.25,1.456,2,False,-1.0,2
DS,West Ham,Fulham,1,2.44,2.69,1,2.44,1.6560000000000001,1,True,1.44,2
DS,Bournemouth,Spurs,1,2.51,2.55,1,2.51,0.656,X,False,-1.0,1
MS_early,Burnley,London Reds,6,9.63,1.34,1,9.63,0.448,X,False,-1.0,1
MS_early,Leeds,C. Palace,6,5.1,1.66,1,5.1,0.448,1,True,4.1,1
MS_early,Burnley,London Blues,9,3.49,2.03,1,3.49,0.48,2,False,-1.0,1
FS,Sunderland,Spurs,35,7.87,1.33,2,1.33,1.528,2,True,0.33000000000000007,2
FS,Fulham,Sunderland,34,1.63,4.66,2,4.66,0.55,1,False,-1.0,1
FS,Spurs,Burnley,34,1.42,5.77,1,1.42,1.0,1,True,0.41999999999999993,1
FS,West Ham,London Blues,34,2.35,2.72,2,2.72,0.65,X,False,-1.0,1
DS,C. Palace,N. Forest,1,1.71,4.48,2,4.48,0.472,2,True,3.4800000000000004,1
DS,Wolverhampton,Burnley,1,1.77,4.0,2,4.0,0.472,1,False,-1.0,1
DS,West Ham,Sunderland,3,1.83,3.83,1,1.83,0.746,1,True,0.8300000000000001,1
DS,C. Palace,London Blues,3,2.18,3.1,2,3.1,0.8,X,False,-1.0,1
MS_early,Sunderland,Fulham,6,7.35,1.43,1,7.35,0.448,2,False,-1.0,1
MS_early,Bournemouth,Leeds,6,1.54,6.6,1,1.54,0.5,X,False,-1.0,1
MS_early,Fulham,London Reds,12,5.39,1.57,1,5.39,0.448,2,False,-1.0,1
DS,Brentford,Bournemouth,2,1.7,3.96,2,3.96,0.472,1,False,-1.0,1
DS,N. Forest,London Blues,2,2.18,3.09,2,3.09,0.8,X,False,-1.0,1
DS,Fulham,West Ham,2,1.8,3.92,2,3.92,1.472,1,False,-1.0,2
DS,C. Palace,Burnley,2,1.59,4.93,2,4.93,0.472,1,False,-1.0,1
MS_early,Sunderland,London Blues,7,7.2,1.41,1,7.2,0.448,X,False,-1.0,1
MS_early,Bournemouth,Manchester Red,5,2.27,3.16,1,2.27,0.34199999999999997,1,True,1.27,1
MS_early,A. Villa,Manchester Blue,5,2.96,2.21,1,2.96,0.48,2,False,-1.0,1
MS_early,Fulham,Liverpool,5,3.04,2.08,1,3.04,0.48,1,True,2.04,1
MS_early,Sunderland,C. Palace,5,6.22,1.55,1,6.22,0.448,2,False,-1.0,1
MS_early,Leeds,London Blues,11,5.96,1.49,1,5.96,0.448,2,False,-1.0,1
MS_early,Brighton,Bournemouth,11,1.64,4.45,2,4.45,0.5,1,False,-1.0,1
MS_early,Bournemouth,A. Villa,8,2.28,3.17,1,2.28,0.34199999999999997,1,True,1.2799999999999998,1
MS_early,Burnley,Fulham,8,3.36,2.13,1,3.36,0.48,X,False,-1.0,1
MS_early,Leeds,Spurs,8,6.21,1.43,1,6.21,0.448,2,False,-1.0,1
FS,London Blues,Fulham,37,1.73,4.48,1,1.73,0.65,1,True,0.73,1
FS,C. Palace,Fulham,35,2.16,3.19,1,2.16,1.0,1,True,1.1600000000000001,1
FS,Spurs,Everton,35,1.61,5.06,1,1.61,1.0,1,True,0.6100000000000001,1
DS,London Reds,Liverpool,1,1.75,3.88,2,3.88,0.472,2,True,2.88,1
MS_early,Wolverhampton,Brentford,4,2.72,2.53,1,2.72,0.48,1,True,1.7200000000000002,1
MS_early,Spurs,Bournemouth,7,1.63,4.22,2,4.22,0.5,2,True,3.2199999999999998,1
MS_early,Leeds,C. Palace,12,5.13,1.67,1,5.13,0.448,2,False,-1.0,1
MS_early,Bournemouth,London Reds,12,5.78,1.63,1,5.78,0.948,1,True,4.78,2
DS,Sunderland,Brighton,1,7.51,1.35,2,1.35,0.52,X,False,-1.0,1
DS,C. Palace,Newcastle,1,2.63,2.42,1,2.63,0.656,2,False,-1.0,1
DS,Brentford,Manchester Red,1,1.87,3.65,2,3.65,0.472,2,True,2.65,1
DS,Spurs,A. Villa,2,1.79,3.84,2,3.84,0.472,X,False,-1.0,1
DS,Bournemouth,Sunderland,2,1.79,4.29,2,4.29,0.472,2,True,3.29,1
DS,Wolverhampton,Manchester Blue,2,5.53,1.59,2,1.59,1.0,1,False,-1.0,1
MS_early,Bournemouth,Liverpool,7,3.6,1.94,1,3.6,0.5,2,False,-1.0,1
MS_early,Everton,London Reds,10,6.0,1.64,1,6.0,0.448,1,True,5.0,1
MS_early,London Blues,Bournemouth,10,1.51,5.5,2,5.5,0.5,1,False,-1.0,1
DS,Fulham,Everton,1,1.83,4.24,2,4.24,0.472,2,True,3.24,1
DS,London Blues,Brentford,1,1.84,4.07,1,1.84,0.546,1,True,0.8400000000000001,1
DS,Liverpool,London Reds,3,2.29,3.02,1,2.29,0.656,2,False,-1.0,1
DS,Fulham,Manchester Blue,3,4.32,1.74,2,1.74,1.0,2,True,0.74,1
MS_early,Wolverhampton,Bournemouth,6,2.13,3.04,2,3.04,0.5,1,False,-1.0,1
FS,Leeds,C. Palace,35,4.9,1.69,2,1.69,0.5,X,False,-1.0,1
FS,Newcastle,Sunderland,35,1.23,10.73,2,10.73,0.55,X,False,-1.0,1
FS,London Blues,Manchester Red,35,1.68,4.77,1,1.68,0.65,1,True,0.6799999999999999,1
DS,Wolverhampton,Brighton,2,2.67,2.35,1,2.67,0.656,2,False,-1.0,1
DS,West Ham,London Reds,2,6.04,1.52,1,6.04,1.0,2,False,-1.0,1
DS,N. Forest,A. Villa,2,1.98,3.72,2,3.72,0.472,X,False,-1.0,1
DS,Bournemouth,Brentford,2,2.56,2.79,1,2.56,0.656,X,False,-1.0,1
MS_early,Brighton,Bournemouth,5,1.6,4.61,2,4.61,0.5,1,False,-1.0,1
MS_early,Burnley,Manchester Blue,5,7.76,1.42,1,7.76,0.448,2,False,-1.0,1
MS_early,London Reds,Bournemouth,10,1.29,8.28,2,8.28,0.5,X,False,-1.0,1
MS_early,Sunderland,Spurs,8,7.34,1.36,1,7.34,0.448,2,False,-1.0,1
FS,Spurs,C. Palace,34,1.82,3.81,1,1.82,1.0,1,True,0.8200000000000001,1
FS,Wolverhampton,Manchester Blue,34,5.52,1.6,1,5.52,0.544,2,False,-1.0,1
DS,Everton,Burnley,3,1.73,4.48,2,4.48,0.472,1,False,-1.0,1
MS_early,Bournemouth,West Ham,12,1.96,3.74,1,1.96,0.5,1,True,0.96,1
MS_early,Everton,Newcastle,12,3.12,2.24,1,3.12,0.48,2,False,-1.0,1
MS_late,Sunderland,Brentford,28,7.35,1.42,2,1.42,0.496,X,False,-1.0,1
FS,Burnley,Manchester Blue,34,8.17,1.4,1,8.17,0.544,2,False,-1.0,1
FS,Spurs,Manchester Red,34,1.77,3.92,1,1.77,1.0,X,False,-1.0,1
FS,London Reds,C. Palace,34,1.4,7.23,2,7.23,1.0,X,False,-1.0,1
MS_early,Burnley,A. Villa,7,3.37,2.14,1,3.37,0.48,X,False,-1.0,1
MS_early,Brentford,Bournemouth,7,1.75,3.74,2,3.74,0.5,X,False,-1.0,1
MS_late,Burnley,Manchester Blue,29,8.08,1.41,2,1.41,0.496,2,True,0.4099999999999999,1
FS,West Ham,Spurs,37,2.62,2.33,2,2.33,1.0,X,False,-1.0,1
FS,Sunderland,London Blues,37,7.44,1.4,2,1.4,1.178,2,True,0.3999999999999999,2
FS,Bournemouth,Manchester Blue,35,4.67,1.78,1,4.67,0.44,1,True,3.67,1
FS,C. Palace,Brentford,35,2.3,3.01,1,2.3,0.746,2,False,-1.0,1
FS,West Ham,London Reds,35,5.97,1.54,1,5.97,0.544,2,False,-1.0,1
MS_early,Manchester Red,Bournemouth,9,1.6,4.93,2,4.93,0.5,1,False,-1.0,1
MS_late,Leeds,Brighton,32,6.58,1.41,2,1.41,0.496,2,True,0.4099999999999999,1
MS_late,Sunderland,Spurs,30,7.72,1.34,2,1.34,0.496,2,True,0.3400000000000001,1
FS,C. Palace,Bournemouth,35,1.83,3.77,1,1.83,1.0,X,False,-1.0,1
FS,Brighton,Manchester Blue,35,3.85,1.88,1,3.85,0.44,X,False,-1.0,1
FS,London Blues,N. Forest,35,1.43,6.66,1,1.43,0.65,X,False,-1.0,1
FS,Wolverhampton,Liverpool,35,3.77,1.84,1,3.77,0.44,2,False,-1.0,1
FS,Bournemouth,London Reds,34,6.29,1.56,1,6.29,0.544,2,False,-1.0,1
FS,Sunderland,Brighton,34,7.66,1.35,1,7.66,1.094,X,False,-1.0,2
FS,Leeds,C. Palace,34,5.02,1.67,1,5.02,0.544,X,False,-1.0,1
DS,Brentford,Bournemouth,1,1.71,3.96,2,3.96,0.472,2,True,2.96,1
DS,West Ham,N. Forest,1,1.79,3.99,1,1.79,1.0,1,True,0.79,1
DS,London Reds,Newcastle,1,1.56,4.91,2,4.91,0.472,2,True,3.91,1
MS_early,Brighton,Bournemouth,4,1.64,4.44,2,4.44,0.5,1,False,-1.0,1
MS_early,Sunderland,London Blues,4,6.64,1.45,1,6.64,0.448,2,False,-1.0,1
MS_early,Fulham,Liverpool,4,3.11,2.04,1,3.11,0.48,2,False,-1.0,1
MS_early,Burnley,A. Villa,4,3.08,2.3,1,3.08,0.48,2,False,-1.0,1
DS,N. Forest,Sunderland,2,1.69,4.68,2,4.68,0.472,1,False,-1.0,1
DS,Wolverhampton,London Blues,2,2.55,2.6,2,2.6,0.8,X,False,-1.0,1
DS,Everton,A. Villa,2,2.47,2.98,1,2.47,0.656,2,False,-1.0,1
DS,West Ham,Manchester Blue,2,4.9,1.65,2,1.65,1.0,2,True,0.6499999999999999,1
DS,Fulham,London Reds,2,5.12,1.62,2,1.62,1.0,2,True,0.6200000000000001,1
MS_early,Burnley,A. Villa,4,3.26,2.18,1,3.26,0.48,2,False,-1.0,1
DS,Leeds,Brighton,3,6.48,1.41,2,1.41,0.52,X,False,-1.0,1
DS,C. Palace,Spurs,2,2.31,2.68,1,2.31,0.656,2,False,-1.0,1
MS_early,Everton,Manchester Blue,7,5.36,1.68,1,5.36,0.448,X,False,-1.0,1
MS_early,Bournemouth,C. Palace,5,2.32,3.19,1,2.32,0.34199999999999997,X,False,-1.0,1
MS_early,Manchester Red,Bournemouth,10,1.69,4.39,2,4.39,0.5,X,False,-1.0,1
MS_early,Bournemouth,London Reds,9,5.54,1.65,1,5.54,0.948,2,False,-1.0,2
MS_early,Sunderland,Bournemouth,8,5.33,1.54,2,1.54,0.5,2,True,0.54,1
MS_late,Leeds,Newcastle,32,7.35,1.36,2,1.36,0.496,2,True,0.3600000000000001,1
MS_early,C. Palace,London Reds,5,5.16,1.65,1,5.16,0.448,1,True,4.16,1
MS_early,Sunderland,Manchester Blue,12,19.07,1.15,1,19.07,0.448,2,False,-1.0,1
MS_early,Newcastle,Bournemouth,12,1.32,7.84,2,7.84,0.5,1,False,-1.0,1
MS_early,Leeds,Liverpool,12,8.87,1.29,1,8.87,0.448,1,True,7.869999999999999,1
MS_early,Bournemouth,A. Villa,11,2.3,3.13,1,2.3,0.34199999999999997,X,False,-1.0,1
MS_early,Bournemouth,C. Palace,9,2.3,3.19,1,2.3,0.34199999999999997,1,True,1.2999999999999998,1
MS_early,Burnley,Everton,6,2.83,2.74,1,2.83,0.48,X,False,-1.0,1
MS_early,Newcastle,London Reds,5,2.76,2.48,1,2.76,0.48,1,True,1.7599999999999998,1
MS_early,Wolverhampton,Newcastle,4,3.16,2.09,1,3.16,0.48,2,False,-1.0,1
MS_early,Spurs,Bournemouth,4,1.61,4.38,2,4.38,0.5,1,False,-1.0,1
DS,Everton,Brighton,3,2.68,2.49,1,2.68,0.656,2,False,-1.0,1
DS,A. Villa,Spurs,3,1.67,4.08,2,4.08,0.472,2,True,3.08,1
MS_early,Brentford,Liverpool,10,2.7,2.22,1,2.7,0.48,X,False,-1.0,1
MS_early,Sunderland,London Reds,10,22.47,1.12,1,22.47,0.448,2,False,-1.0,1
