segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
MS_early,Wolverhampton,Manchester Blue,8,5.34,1.62,1,5.34,0.448,2,False,-1.0,1
MS_early,Bournemouth,Fulham,7,2.45,2.88,1,2.45,0.34199999999999997,1,True,1.4500000000000002,1
MS_early,Bournemouth,Leeds,11,1.59,6.19,1,1.59,0.5,1,True,0.5900000000000001,1
MS_early,C. Palace,Bournemouth,10,1.85,3.7,2,3.7,0.5,X,False,-1.0,1
MS_late,Burnley,London Reds,28,9.61,1.34,2,1.34,0.496,2,True,0.3400000000000001,1
FS,Bournemouth,Liverpool,34,3.6,1.94,1,3.6,0.44,1,True,2.6,1
FS,Everton,Sunderland,35,1.96,3.8,2,3.8,0.55,1,False,-1.0,1
FS,A. Villa,Spurs,35,1.67,4.11,2,4.11,1.0,2,True,3.1100000000000003,1
FS,C. Palace,Leeds,35,1.47,7.12,1,1.47,1.0,1,True,0.47,1
DS,Newcastle,Manchester Blue,1,2.36,2.82,1,2.36,0.656,X,False,-1.0,1
DS,Sunderland,Spurs,1,7.31,1.37,2,1.37,0.52,2,True,0.3700000000000001,1
DS,Brentford,Everton,1,1.68,4.73,2,4.73,0.472,2,True,3.7300000000000004,1
DS,Everton,London Blues,3,2.59,2.78,2,2.78,0.8,X,False,-1.0,1
DS,Sunderland,A. Villa,3,5.96,1.54,2,1.54,1.0,2,True,0.54,1
DS,N. Forest,Brentford,2,2.28,3.06,1,2.28,0.656,2,False,-1.0,1
MS_late,Sunderland,Brighton,26,7.9,1.34,2,1.34,0.496,X,False,-1.0,1
MS_late,Burnley,Manchester Blue,33,8.45,1.38,2,1.38,0.496,2,True,0.3799999999999999,1
FS,Spurs,Burnley,35,1.47,5.36,1,1.47,1.0,X,False,-1.0,1
FS,Sunderland,Newcastle,35,8.61,1.32,1,8.61,1.094,X,False,-1.0,2
FS,Brentford,London Reds,35,4.62,1.65,1,4.62,0.44,2,False,-1.0,1
FS,Liverpool,London Blues,35,1.36,7.55,2,7.55,0.65,2,True,6.55,1
FS,London Blues,Manchester Red,36,1.67,4.83,1,1.67,0.65,2,False,-1.0,1
FS,Everton,Sunderland,36,1.93,3.89,2,3.89,0.55,2,True,2.89,1
FS,Leeds,Brighton,37,6.31,1.43,1,6.31,0.544,2,False,-1.0,1
DS,Sunderland,West Ham,2,5.04,1.64,2,1.64,2.0,2,True,0.6399999999999999,2
DS,Bournemouth,Wolverhampton,2,1.84,4.17,2,4.17,0.472,X,False,-1.0,1
DS,C. Palace,A. Villa,2,1.99,3.6,2,3.6,0.472,X,False,-1.0,1
DS,Wolverhampton,C. Palace,1,2.57,2.75,1,2.57,0.656,X,False,-1.0,1
MS_early,Bournemouth,Everton,4,2.09,4.0,1,2.09,0.5,1,True,1.0899999999999999,1
MS_early,Sunderland,Newcastle,5,9.61,1.28,1,9.61,0.448,2,False,-1.0,1
MS_early,C. Palace,Bournemouth,5,1.93,3.45,2,3.45,0.5,1,False,-1.0,1
MS_early,Bournemouth,Spurs,6,2.54,2.53,1,2.54,0.34199999999999997,1,True,1.54,1
MS_early,Wolverhampton,London Reds,8,6.51,1.51,1,6.51,0.448,2,False,-1.0,1
MS_early,Burnley,Everton,8,2.77,2.8,1,2.77,0.48,1,True,1.77,1
MS_early,Leeds,A. Villa,8,5.24,1.62,1,5.24,0.448,2,False,-1.0,1
MS_early,Bournemouth,Brentford,9,2.57,2.79,1,2.57,0.34199999999999997,X,False,-1.0,1
MS_early,Burnley,Bournemouth,10,2.79,2.34,2,2.34,0.5,2,True,1.3399999999999999,1
MS_early,Leeds,C. Palace,10,5.33,1.64,1,5.33,0.448,2,False,-1.0,1
MS_early,Sunderland,A. Villa,11,6.16,1.52,1,6.16,0.448,2,False,-1.0,1
