heure,statut,match,cotes,pick,p_pois%,p_cote%,confidence%,edge_pois,edge_cote,score_pois,tier_diff
19:44:56,en cours (105s),Manchester Blue vs Leeds,1.11/8.97/21.35,1,89.6,84.4,87.0,-0.5%,-6.3%,3-0,+0.76
19:44:56,en cours (105s),A. Villa vs Sunderland,1.35/5.43/7.44,1,72.3,69.3,70.8,-2.4%,-6.5%,2-0,+0.42
